model,epochs,mse,mae,corr
FacebookAI_roberta-large,1,0.3294,0.4795,0.1837
FacebookAI_roberta-large,2,0.1511,0.3205,0.2537
FacebookAI_roberta-large,3,0.2803,0.4417,0.2685
FacebookAI_roberta-large,5,0.122,0.281,0.2648
klue_roberta-base,1,0.0707,0.2049,0.6056
klue_roberta-base,2,0.0616,0.1936,0.6514
klue_roberta-base,3,0.0619,0.19,0.6658
klue_roberta-base,5,0.0642,0.1956,0.6538
klue_roberta-base,7,0.0666,0.1972,0.652
klue_roberta-base,10,0.0632,0.1991,0.6883
klue_roberta-base,15,0.0608,0.1825,0.6771
klue_roberta-base,20,0.0581,0.1837,0.6728
klue_roberta-base,25,0.0577,0.1845,0.7047
klue_roberta-base,30,0.0654,0.1948,0.6456
klue_roberta-base,35,0.0754,0.2139,0.5958
klue_roberta-base,40,0.0599,0.1746,0.6841
klue_roberta-base,45,0.0645,0.186,0.6889
klue_roberta-base,50,0.0602,0.1741,0.7094
klue_roberta-base,55,0.05,0.1659,0.7289
klue_roberta-base,60,0.0532,0.1681,0.7116
klue_roberta-base,70,0.0658,0.1996,0.6223
klue_roberta-base,80,0.0674,0.1997,0.6418
klue_roberta-base,90,0.07,0.2046,0.6147
klue_roberta-base,100,0.0475,0.1622,0.7475
klue_roberta-base,110,0.058,0.1687,0.7059
klue_roberta-base,120,0.0525,0.1687,0.7248
klue_roberta-base,130,0.0529,0.1686,0.7126
klue_roberta-base,140,0.0567,0.1683,0.7118
klue_roberta-base,150,0.17,0.3459,0.6455
sentence-transformers_all-MiniLM-L12-v2,1,0.1114,0.2663,0.2758
sentence-transformers_all-MiniLM-L12-v2,2,0.1078,0.2638,0.3111
sentence-transformers_all-MiniLM-L12-v2,3,0.0979,0.2508,0.4245
sentence-transformers_all-MiniLM-L12-v2,5,0.0923,0.2439,0.471
sentence-transformers_all-MiniLM-L12-v2,7,0.0983,0.2496,0.4401
sentence-transformers_all-MiniLM-L12-v2,10,0.0814,0.2274,0.5219
sentence-transformers_all-MiniLM-L12-v2,15,0.095,0.2467,0.469
sentence-transformers_all-mpnet-base-v2,1,0.1087,0.2596,0.3781
sentence-transformers_all-mpnet-base-v2,2,0.109,0.2549,0.4087
sentence-transformers_all-mpnet-base-v2,3,0.1223,0.2878,0.4108
sentence-transformers_all-mpnet-base-v2,5,0.0809,0.2263,0.4811
sentence-transformers_all-mpnet-base-v2,7,0.0942,0.2458,0.4643
sentence-transformers_all-mpnet-base-v2,10,0.0991,0.2511,0.4474
sentence-transformers_all-mpnet-base-v2,15,0.0942,0.2397,0.4481
